Brand,Car_Name,Issue,Model_Year,KMs_Driven,Maintenance_Cost
Maruti Suzuki,Alto K10,Clutch Replacement,2022,184472,23696
Maruti Suzuki,Alto K10,Radiator Repair,2021,58762,12195
Maruti Suzuki,Alto K10,Alternator Replacement,2024,94770,7139
Maruti Suzuki,Alto K10,Fuel Pump Repair,2018,179101,14170
Maruti Suzuki,Alto K10,Battery Replacement,2023,101633,11965
Maruti Suzuki,Alto K10,Suspension Repair,2024,28128,19043
Maruti Suzuki,Alto K10,Tyre Replacement,2018,141883,39087
Maruti Suzuki,Alto K10,Starter Motor Repair,2012,72409,12542
Maruti Suzuki,Alto K10,Timing Belt Replacement,2016,110741,7840
Maruti Suzuki,Alto K10,Steering Rack Repair,2018,43152,25088
Maruti Suzuki,Alto K10,Headlight Replacement,2013,176557,11071
Maruti Suzuki,Alto K10,Starter Motor Repair,2013,51001,11774
Maruti Suzuki,Alto K10,AC Repair,2020,123027,17703
Maruti Suzuki,Alto K10,Fuel Pump Repair,2019,58202,13444
Maruti Suzuki,Alto K10,Steering Rack Repair,2015,86437,22462
Maruti Suzuki,Alto K10,Wheel Balancing,2012,101863,6019
Maruti Suzuki,Alto K10,Gearbox Repair,2018,48278,33393
Maruti Suzuki,Alto K10,Cabin Filter Replacement,2016,151062,6753
Maruti Suzuki,Alto K10,Brake Pad Replacement,2021,81503,8982
Maruti Suzuki,Alto K10,Starter Motor Repair,2016,70605,6989
Maruti Suzuki,S-Presso,Timing Belt Replacement,2023,125169,12711
Maruti Suzuki,S-Presso,Starter Motor Repair,2022,17553,11436
Maruti Suzuki,S-Presso,Coolant Leak,2012,70064,5869
Maruti Suzuki,S-Presso,Tyre Replacement,2023,193494,22747
Maruti Suzuki,S-Presso,Timing Belt Replacement,2017,6724,6465
Maruti Suzuki,S-Presso,Fuel Pump Repair,2021,30745,6772
Maruti Suzuki,S-Presso,Radiator Repair,2020,155210,13076
Maruti Suzuki,S-Presso,AC Repair,2025,113477,7345
Maruti Suzuki,S-Presso,Clutch Replacement,2012,40111,17533
Maruti Suzuki,S-Presso,Brake Pad Replacement,2020,187473,13225
Maruti Suzuki,S-Presso,Timing Belt Replacement,2022,109751,10793
Maruti Suzuki,S-Presso,Radiator Repair,2025,15425,8994
Maruti Suzuki,S-Presso,Starter Motor Repair,2019,54880,14619
Maruti Suzuki,S-Presso,Cabin Filter Replacement,2023,137644,6904
Maruti Suzuki,S-Presso,Clutch Replacement,2025,60992,11746
Maruti Suzuki,S-Presso,Radiator Repair,2013,43109,10471
Maruti Suzuki,S-Presso,Gearbox Repair,2017,17917,31504
Maruti Suzuki,S-Presso,AC Repair,2017,77435,12225
Maruti Suzuki,S-Presso,Suspension Repair,2025,30927,14942
Maruti Suzuki,S-Presso,Clutch Replacement,2013,157586,15494
Maruti Suzuki,WagonR,Engine Oil Change,2015,49748,7225
Maruti Suzuki,WagonR,Clutch Replacement,2012,69044,18306
Maruti Suzuki,WagonR,Spark Plug Replacement,2016,95672,5444
Maruti Suzuki,WagonR,Engine Oil Change,2014,80148,8094
Maruti Suzuki,WagonR,Wheel Balancing,2012,39473,3059
Maruti Suzuki,WagonR,Air Filter Replacement,2015,45046,4341
Maruti Suzuki,WagonR,Suspension Repair,2021,190197,17242
Maruti Suzuki,WagonR,Coolant Replacement,2012,172681,6200
Maruti Suzuki,WagonR,Steering Rack Repair,2016,195559,22329
Maruti Suzuki,WagonR,Steering Rack Repair,2021,123085,27746
Maruti Suzuki,WagonR,Headlight Replacement,2017,47363,5232
Maruti Suzuki,WagonR,Suspension Repair,2012,101535,9395
Maruti Suzuki,WagonR,AC Repair,2017,25134,6907
Maruti Suzuki,WagonR,Suspension Repair,2018,41354,25289
Maruti Suzuki,WagonR,Clutch Replacement,2016,39538,13365
Maruti Suzuki,WagonR,Headlight Replacement,2017,121220,8297
Maruti Suzuki,WagonR,Engine Overheating,2025,117012,20380
Maruti Suzuki,WagonR,Cabin Filter Replacement,2012,99500,6825
Maruti Suzuki,WagonR,Tyre Replacement,2012,41505,18930
Maruti Suzuki,WagonR,Engine Oil Change,2025,126737,6763
Maruti Suzuki,Celerio,Gearbox Repair,2024,166709,19684
Maruti Suzuki,Celerio,Air Filter Replacement,2018,168157,9139
Maruti Suzuki,Celerio,AC Repair,2012,107209,15831
Maruti Suzuki,Celerio,Clutch Replacement,2018,185342,24428
Maruti Suzuki,Celerio,Steering Rack Repair,2022,55999,30527
